code,name,ind,price,dcf_n,dcf_o,dcf_up,np_,kf,py,ry,ocf,fcf,debt,gm,nm,roe,pb,pe_ttm,dy,fcap,quality,growth,value,health,ind_s,final
300999,金龙鱼,粮油加工,25.0,10.81,17.29,-56.76,22.94,14.81,30.69,6.2,10.01,-10.9,56.24,6.31,1.94,2.35,1.39,36.72,0.92,135.66,8.94,53.43,48.25,60.01,62,36.72
300316,晶盛机电,光伏加工设备,42.72,20.36,34.11,-52.34,2.32,1.02,-63.66,-40.47,13.66,10.93,36.45,30.42,5.33,1.35,3.26,117.04,0.49,526.12,31.3,20.07,25.78,89.01,65,36.67
002171,楚江新材,铜,10.74,9.24,21.77,-13.97,3.04,2.73,21.01,39.35,-19.83,-22.29,61.16,3.53,0.75,3.39,1.94,39.99,0.74,173.48,6.2,60.25,51.52,43.29,65,36.63
600577,精达股份,线缆部件及其他,8.72,5.9,12.48,-32.34,3.25,3.19,6.02,29.06,-0.7,-1.09,61.12,5.6,2.23,5.11,2.98,31.51,1.01,194.61,12.93,54.17,52.81,43.32,62,36.62
603308,应流股份,机械基础件,43.41,13.09,28.66,-69.85,2.21,2.15,17.52,32.23,-1.45,-6.54,60.39,34.03,10.95,4.18,5.68,82.86,0.34,316.21,27.79,57.56,19.97,44.03,66,36.62
002080,中材科技,玻纤制造,60.22,25.35,49.46,-57.9,12.08,10.95,20.93,21.95,-2.0,-22.62,58.21,21.29,8.93,5.92,4.95,49.86,0.72,1010.57,22.59,55.53,28.4,46.12,65,36.39
301529,福赛科技,车身附件及饰件,127.11,14.89,24.94,-88.29,0.72,0.62,14.19,0.36,0.67,-0.07,38.41,27.0,8.71,4.95,10.35,106.2,0.06,80.8,28.24,48.22,10.0,77.13,62,36.33
603985,恒润股份,风电零部件,17.0,3.78,6.33,-77.76,0.68,0.73,70.15,-9.81,-2.01,-2.27,45.07,13.75,4.07,2.05,2.26,67.12,0.35,74.95,11.44,57.78,28.18,58.73,68,36.3
688102,斯瑞新材,铜,31.5,6.22,14.83,-80.25,0.96,0.88,28.53,40.6,-0.7,-2.99,43.0,23.57,9.38,4.65,11.91,145.65,0.25,245.32,22.42,62.24,10.0,60.72,65,36.29
603650,彤程新材,橡胶助剂,73.55,25.61,54.2,-65.18,3.89,3.61,10.86,29.1,0.42,-2.16,54.71,23.05,18.21,9.26,10.79,75.44,0.68,453.1,34.48,55.25,10.0,61.48,58,36.28
002601,龙佰集团,钛白粉,15.29,4.64,7.61,-69.65,8.44,7.72,-39.08,8.15,18.5,4.16,55.55,20.05,6.74,3.7,1.6,51.85,0.65,302.71,25.78,38.6,34.69,70.67,58,36.25
002364,中恒电气,其他发电设备,36.16,5.03,12.13,-86.09,0.55,0.5,15.81,41.67,-2.69,-2.8,47.97,21.51,4.07,2.22,8.24,152.22,0.28,201.83,15.35,59.73,13.82,55.95,72,36.0
600138,中青旅,休闲综合,7.05,4.73,8.03,-32.91,0.22,0.31,-66.9,10.68,1.5,1.22,50.39,18.46,0.93,0.35,0.81,131.56,0.51,51.03,21.76,33.17,33.42,75.63,62,35.76
600515,海南机场,机场,2.75,0.43,0.93,-84.36,1.19,0.35,-6.95,30.36,2.83,-1.43,55.31,22.9,3.43,0.49,1.3,149.84,0.18,252.34,13.55,51.67,30.0,60.9,65,35.6
688122,西部超导,钛,50.04,12.96,21.72,-74.1,3.45,1.56,-36.77,-4.07,-1.34,-2.36,51.78,30.09,15.42,4.78,4.5,50.92,1.2,325.09,30.0,35.81,28.55,52.29,65,35.52
600339,中油工程,油气工程,3.3,17.86,28.76,441.21,3.65,3.51,-22.27,5.9,40.24,39.29,79.18,7.98,0.96,1.35,0.68,73.25,0.39,184.24,17.99,41.69,50.0,47.99,60,35.38
601399,国机重装,能源及重型设备,3.2,0.88,1.48,-72.5,2.61,2.35,8.12,1.92,-10.28,-15.83,53.63,15.47,3.86,1.74,1.54,47.78,0.0,230.83,11.77,47.3,38.42,50.52,68,35.33
601669,中国电建,基建工程,4.61,5.41,9.06,17.35,38.21,36.13,-29.56,-1.07,-460.21,-608.06,80.61,11.02,1.74,2.3,0.54,9.45,2.29,602.6,9.05,38.21,83.47,24.61,60,35.28
600456,宝钛股份,钛,25.25,7.44,12.46,-70.53,1.46,1.22,-29.1,1.17,-1.79,-3.26,57.11,18.69,6.2,2.02,1.68,35.37,1.19,120.64,15.03,38.91,49.0,47.17,65,35.2
603009,北特科技,底盘与发动机系统,49.29,4.85,7.96,-90.16,0.63,0.59,14.78,8.2,0.62,-0.93,48.27,20.16,5.44,3.09,8.38,133.73,0.28,170.74,16.57,50.47,13.49,67.66,68,35.08
688333,铂力特,其他通用设备,107.27,5.76,10.39,-94.63,0.51,0.16,-32.99,15.46,-1.74,-7.47,43.03,39.04,6.64,0.97,5.61,164.74,0.1,294.27,23.73,41.92,20.14,60.69,66,35.04
002009,天奇股份,其他专用设备,15.58,3.58,6.6,-77.02,0.45,0.14,-19.32,17.17,0.82,-0.01,63.71,19.79,2.86,2.18,3.04,142.76,0.32,55.19,18.42,45.39,26.3,52.84,68,34.97
603505,金石资源,氟化工,15.42,4.18,7.01,-72.89,0.9,0.98,-28.87,9.8,3.15,1.28,69.44,14.49,6.09,4.78,6.89,44.86,0.78,129.79,28.28,41.29,28.15,57.34,58,34.92
600552,凯盛科技,面板,17.87,1.95,3.39,-89.09,0.63,0.43,22.71,12.54,1.66,-0.07,63.16,17.75,2.11,1.46,3.9,120.26,0.28,168.8,15.59,53.38,24.24,53.37,65,34.73
600760,中航沈飞,航空装备,43.9,4.07,6.82,-90.73,4.73,4.02,-58.37,-57.68,5.72,-3.06,63.11,10.59,7.56,2.02,5.32,43.6,0.92,1242.17,12.92,16.59,33.02,53.41,88,34.72
300136,信维通信,消费电子组件,59.51,4.2,6.96,-92.94,1.51,1.41,-6.99,8.88,4.4,-1.35,46.15,19.99,3.73,1.88,7.19,82.57,0.08,490.96,14.01,45.86,16.34,69.7,68,34.43
002837,英维克,其他专用设备,63.28,4.63,8.54,-92.68,1.85,1.75,-14.32,17.24,0.62,-1.57,58.21,24.93,6.52,5.16,22.54,164.58,0.21,718.19,21.97,46.5,10.0,58.12,68,34.14
600498,烽火通信,系统设备,43.99,4.03,6.9,-90.84,1.93,1.88,-32.72,11.33,5.09,-1.39,61.28,21.4,1.5,1.1,3.39,174.66,0.22,559.39,12.88,40.86,25.46,55.17,70,33.66
601868,中国能建,基建工程,2.43,1.45,2.42,-40.33,22.79,18.32,-18.67,-1.78,-235.44,-390.27,77.86,11.27,1.91,1.81,0.91,20.22,1.28,788.02,8.68,40.41,64.7,27.25,60,33.18
600895,张江高科,产业地产,28.56,5.71,9.43,-80.01,3.29,3.26,-10.76,8.61,-11.23,-15.86,66.33,28.51,13.1,1.92,3.23,46.74,0.67,442.31,23.74,44.96,35.28,38.32,55,32.95
300058,蓝色光标,互联网广告,13.15,1.52,2.45,-88.44,2.11,1.93,119.28,6.8,-0.56,-0.58,72.96,2.93,0.61,2.65,5.93,138.98,0.08,457.35,8.09,73.08,19.37,31.96,60,32.26
601611,中国核建,基建工程,10.42,4.51,7.55,-56.72,5.57,4.77,-30.2,-17.79,-138.88,-142.8,78.87,9.74,2.28,1.66,1.39,29.13,0.58,314.04,7.99,33.55,54.93,26.28,60,30.49
300115,长盈精密,消费电子组件,24.48,0.48,0.96,-98.04,0.18,0.14,-94.2,24.18,-2.03,-17.16,67.89,16.88,0.27,0.22,4.01,107.72,0.49,332.29,8.46,30.8,23.98,36.83,68,28.65
